marks,attendance,assignment_completion,participation,coding_score,communication_score,performance_label,behavior_label,dropout_risk,attendance_prediction
88.0,66.0,40.0,50.0,59.0,64.0,medium,average,medium,moderate
74.0,71.0,42.0,36.0,47.0,22.0,medium,average,medium,moderate
79.0,60.0,52.0,71.0,69.0,26.0,medium,average,medium,moderate
36.0,89.0,68.0,40.0,48.0,60.0,medium,average,medium,moderate
51.0,54.0,57.0,98.0,72.0,63.0,medium,good,medium,moderate
83.0,48.0,59.0,58.0,28.0,46.0,medium,average,medium,moderate
88.0,71.0,47.0,64.0,46.0,54.0,medium,average,low,moderate
60.0,93.0,40.0,92.0,75.0,53.0,medium,good,low,high
86.0,62.0,99.0,44.0,57.0,80.0,high,average,medium,moderate
88.0,42.0,71.0,57.0,77.0,55.0,medium,average,medium,moderate
57.0,98.0,46.0,62.0,70.0,87.0,medium,good,low,high
92.0,66.0,86.0,41.0,46.0,37.0,medium,average,medium,moderate
50.0,50.0,88.0,24.0,54.0,35.0,medium,poor,high,low
46.0,76.0,97.0,42.0,97.0,52.0,high,average,medium,moderate
77.0,59.0,41.0,28.0,96.0,26.0,medium,poor,medium,moderate
74.0,96.0,74.0,74.0,22.0,73.0,high,good,low,high
39.0,57.0,98.0,20.0,76.0,51.0,medium,poor,medium,low
88.0,73.0,86.0,45.0,59.0,49.0,high,average,low,moderate
43.0,72.0,45.0,90.0,20.0,62.0,medium,good,medium,moderate
86.0,54.0,92.0,65.0,70.0,26.0,high,average,medium,moderate
30.0,69.0,59.0,73.0,21.0,50.0,low,average,medium,moderate
85.0,46.0,64.0,73.0,45.0,97.0,medium,average,medium,moderate
85.0,78.0,69.0,43.0,75.0,70.0,high,average,low,moderate
84.0,85.0,83.0,70.0,85.0,65.0,high,good,low,high
76.0,97.0,38.0,37.0,53.0,60.0,medium,average,low,moderate
63.0,59.0,67.0,70.0,84.0,57.0,medium,average,medium,moderate
79.0,57.0,87.0,74.0,87.0,94.0,high,average,medium,moderate
49.0,72.0,68.0,90.0,55.0,94.0,medium,good,medium,moderate
84.0,81.0,49.0,93.0,33.0,52.0,high,good,low,high
68.0,99.0,33.0,21.0,72.0,93.0,medium,average,low,moderate
62.0,41.0,68.0,43.0,21.0,26.0,medium,poor,high,low
65.0,54.0,79.0,63.0,91.0,45.0,medium,average,medium,moderate
69.0,55.0,68.0,45.0,51.0,44.0,medium,poor,medium,moderate
32.0,55.0,98.0,69.0,80.0,75.0,medium,average,high,moderate
39.0,67.0,72.0,88.0,78.0,68.0,medium,good,medium,moderate
47.0,92.0,65.0,40.0,57.0,57.0,medium,average,low,moderate
38.0,41.0,33.0,91.0,97.0,40.0,low,average,high,moderate
60.0,88.0,69.0,90.0,83.0,60.0,high,good,low,high
76.0,77.0,41.0,93.0,90.0,41.0,medium,good,low,high
75.0,76.0,80.0,25.0,27.0,59.0,medium,poor,low,moderate
62.0,80.0,41.0,43.0,58.0,47.0,medium,average,medium,moderate
89.0,46.0,93.0,29.0,96.0,91.0,high,poor,medium,low
69.0,84.0,51.0,29.0,85.0,79.0,medium,average,low,moderate
35.0,54.0,60.0,24.0,56.0,34.0,low,poor,high,low
83.0,70.0,40.0,55.0,25.0,95.0,medium,average,medium,moderate
70.0,80.0,44.0,26.0,42.0,72.0,medium,poor,low,moderate
74.0,76.0,94.0,43.0,65.0,48.0,high,average,low,moderate
69.0,59.0,49.0,98.0,71.0,62.0,medium,good,medium,high
68.0,63.0,65.0,90.0,93.0,35.0,medium,good,medium,moderate
36.0,68.0,98.0,94.0,27.0,23.0,medium,good,medium,moderate
69.0,42.0,73.0,22.0,51.0,53.0,medium,poor,medium,low
85.0,83.0,32.0,72.0,41.0,82.0,medium,good,low,high
51.0,45.0,55.0,70.0,96.0,48.0,medium,average,high,moderate
72.0,67.0,57.0,30.0,33.0,50.0,medium,poor,medium,moderate
32.0,79.0,49.0,92.0,37.0,99.0,medium,good,medium,moderate
54.0,44.0,46.0,52.0,43.0,98.0,medium,poor,high,low
60.0,99.0,65.0,98.0,28.0,57.0,medium,good,low,high
98.0,62.0,56.0,29.0,71.0,23.0,medium,poor,medium,moderate
45.0,40.0,50.0,72.0,61.0,74.0,medium,average,high,moderate
49.0,79.0,58.0,30.0,64.0,77.0,medium,poor,medium,moderate
58.0,73.0,54.0,95.0,92.0,93.0,high,good,medium,high
99.0,78.0,46.0,68.0,54.0,95.0,high,average,low,high
89.0,85.0,61.0,26.0,44.0,70.0,medium,poor,low,moderate
32.0,68.0,95.0,37.0,50.0,28.0,medium,poor,medium,low
46.0,89.0,65.0,48.0,84.0,39.0,medium,average,low,moderate
87.0,62.0,71.0,21.0,62.0,77.0,medium,poor,medium,moderate
34.0,72.0,98.0,20.0,33.0,68.0,medium,poor,medium,low
89.0,49.0,72.0,94.0,75.0,54.0,high,good,medium,high
49.0,77.0,45.0,98.0,79.0,52.0,medium,good,medium,high
94.0,55.0,57.0,62.0,39.0,76.0,medium,average,medium,moderate
50.0,81.0,64.0,92.0,64.0,53.0,medium,good,medium,high
60.0,88.0,63.0,72.0,65.0,32.0,medium,good,low,high
76.0,91.0,40.0,22.0,34.0,98.0,medium,poor,low,moderate
38.0,95.0,37.0,77.0,20.0,47.0,medium,good,low,high
68.0,47.0,54.0,21.0,77.0,42.0,medium,poor,medium,low
65.0,48.0,93.0,85.0,69.0,25.0,medium,average,medium,moderate
84.0,95.0,80.0,49.0,77.0,57.0,high,average,low,moderate
99.0,62.0,88.0,31.0,50.0,98.0,high,poor,medium,moderate
76.0,41.0,42.0,40.0,61.0,32.0,medium,poor,medium,low
58.0,57.0,58.0,74.0,98.0,39.0,medium,average,medium,moderate
58.0,90.0,70.0,87.0,38.0,34.0,medium,good,low,high
59.0,61.0,60.0,65.0,72.0,27.0,medium,average,medium,moderate
86.0,44.0,59.0,32.0,30.0,68.0,medium,poor,medium,low
52.0,83.0,55.0,92.0,25.0,43.0,medium,good,medium,high
41.0,51.0,33.0,83.0,96.0,80.0,medium,average,high,moderate
53.0,61.0,90.0,52.0,30.0,52.0,medium,average,medium,moderate
31.0,40.0,95.0,64.0,72.0,70.0,medium,average,high,low
37.0,76.0,35.0,97.0,61.0,27.0,medium,good,medium,high
36.0,66.0,58.0,50.0,84.0,46.0,medium,average,medium,moderate
84.0,92.0,66.0,22.0,63.0,53.0,high,average,low,moderate
80.0,60.0,84.0,31.0,75.0,24.0,medium,poor,medium,moderate
78.0,52.0,99.0,68.0,91.0,53.0,high,average,medium,moderate
62.0,49.0,59.0,99.0,86.0,57.0,medium,good,medium,moderate
80.0,52.0,82.0,79.0,77.0,52.0,high,average,medium,moderate
41.0,67.0,95.0,69.0,32.0,60.0,medium,average,medium,moderate
93.0,45.0,88.0,45.0,33.0,83.0,medium,poor,medium,moderate
65.0,64.0,50.0,55.0,59.0,81.0,medium,average,medium,moderate
95.0,91.0,87.0,23.0,72.0,21.0,high,average,low,moderate
40.0,86.0,58.0,49.0,73.0,71.0,medium,average,medium,moderate
64.0,78.0,31.0,69.0,82.0,92.0,medium,average,medium,moderate
78.0,93.0,83.0,92.0,28.0,89.0,high,good,low,high
64.0,86.0,88.0,93.0,33.0,45.0,high,good,low,high
61.0,79.0,54.0,85.0,31.0,82.0,medium,good,medium,high
41.0,91.0,61.0,21.0,63.0,84.0,medium,poor,low,moderate
56.0,47.0,55.0,84.0,70.0,49.0,medium,average,high,moderate
46.0,89.0,38.0,37.0,29.0,89.0,medium,average,low,moderate
51.0,57.0,99.0,69.0,89.0,70.0,medium,average,medium,moderate
77.0,83.0,31.0,95.0,44.0,80.0,medium,good,low,high
74.0,94.0,68.0,91.0,72.0,79.0,high,good,low,high
72.0,69.0,31.0,73.0,80.0,82.0,medium,average,medium,moderate
55.0,45.0,78.0,43.0,22.0,96.0,medium,poor,high,low
97.0,62.0,93.0,61.0,89.0,88.0,high,average,medium,moderate
36.0,64.0,75.0,76.0,97.0,53.0,medium,average,medium,moderate
53.0,96.0,72.0,61.0,96.0,64.0,high,good,low,moderate
38.0,96.0,87.0,52.0,31.0,71.0,medium,average,low,moderate
53.0,74.0,98.0,52.0,51.0,88.0,medium,average,medium,moderate
97.0,97.0,90.0,67.0,38.0,51.0,high,good,low,high
55.0,66.0,46.0,22.0,56.0,45.0,medium,poor,medium,low
93.0,64.0,69.0,99.0,97.0,79.0,high,good,medium,high
64.0,90.0,87.0,28.0,81.0,96.0,high,average,low,moderate
78.0,80.0,50.0,98.0,81.0,92.0,high,good,low,high
62.0,71.0,77.0,22.0,53.0,31.0,medium,poor,medium,low
48.0,67.0,31.0,61.0,94.0,93.0,medium,average,medium,moderate
83.0,82.0,91.0,53.0,93.0,83.0,high,average,low,moderate
97.0,85.0,73.0,65.0,84.0,32.0,high,average,low,high
48.0,69.0,82.0,54.0,85.0,20.0,medium,average,medium,moderate
84.0,41.0,87.0,91.0,72.0,36.0,high,average,medium,moderate
48.0,46.0,45.0,21.0,27.0,94.0,low,poor,high,low
80.0,48.0,61.0,98.0,42.0,80.0,medium,good,medium,moderate
85.0,67.0,90.0,75.0,81.0,66.0,high,average,medium,moderate
61.0,76.0,41.0,82.0,46.0,70.0,medium,good,medium,high
81.0,88.0,87.0,31.0,33.0,53.0,medium,average,low,moderate
49.0,53.0,50.0,25.0,95.0,92.0,medium,poor,medium,low
35.0,87.0,70.0,51.0,59.0,32.0,medium,average,medium,moderate
36.0,79.0,65.0,45.0,88.0,45.0,medium,average,medium,moderate
61.0,43.0,78.0,82.0,42.0,36.0,medium,average,high,moderate
93.0,61.0,88.0,91.0,48.0,87.0,high,good,medium,high
38.0,58.0,54.0,54.0,47.0,63.0,medium,average,medium,moderate
61.0,93.0,42.0,81.0,49.0,74.0,medium,good,low,high
79.0,95.0,59.0,24.0,55.0,93.0,high,average,low,moderate
44.0,89.0,72.0,79.0,43.0,35.0,medium,good,low,high
80.0,71.0,82.0,27.0,85.0,97.0,high,poor,medium,moderate
51.0,69.0,82.0,73.0,46.0,30.0,medium,average,medium,moderate
86.0,58.0,53.0,50.0,55.0,80.0,high,average,medium,moderate
70.0,86.0,95.0,53.0,88.0,76.0,high,average,low,moderate
68.0,45.0,35.0,42.0,54.0,86.0,medium,poor,medium,low
42.0,56.0,38.0,52.0,20.0,32.0,low,average,medium,moderate
62.0,48.0,31.0,89.0,20.0,96.0,medium,average,medium,moderate
89.0,69.0,94.0,84.0,54.0,83.0,high,good,medium,high
31.0,57.0,42.0,47.0,71.0,28.0,low,average,high,low
83.0,51.0,72.0,43.0,95.0,64.0,medium,poor,medium,moderate
64.0,62.0,86.0,60.0,30.0,85.0,medium,average,medium,moderate
80.0,91.0,83.0,74.0,63.0,58.0,high,good,low,high
76.0,73.0,96.0,34.0,43.0,50.0,medium,poor,medium,moderate
60.0,89.0,33.0,78.0,56.0,42.0,medium,good,low,high
51.0,94.0,58.0,95.0,55.0,61.0,medium,good,low,high
73.0,94.0,65.0,87.0,44.0,98.0,high,good,low,high
39.0,61.0,78.0,63.0,21.0,68.0,medium,average,medium,moderate
70.0,92.0,73.0,45.0,25.0,77.0,medium,average,low,moderate
36.0,94.0,69.0,45.0,61.0,82.0,medium,average,low,moderate
75.0,97.0,51.0,79.0,37.0,82.0,high,good,low,high
74.0,61.0,37.0,56.0,46.0,52.0,medium,average,medium,moderate
35.0,53.0,60.0,28.0,27.0,81.0,low,poor,high,low
83.0,75.0,48.0,74.0,23.0,46.0,medium,average,low,high
59.0,95.0,68.0,31.0,30.0,66.0,medium,average,low,moderate
85.0,94.0,85.0,98.0,50.0,44.0,high,good,low,high
32.0,74.0,68.0,53.0,33.0,95.0,medium,average,medium,moderate
42.0,48.0,70.0,47.0,38.0,78.0,medium,poor,high,low
64.0,65.0,32.0,24.0,44.0,66.0,medium,poor,medium,low
43.0,82.0,75.0,33.0,43.0,56.0,medium,average,medium,moderate
53.0,73.0,60.0,95.0,20.0,61.0,medium,good,medium,high
76.0,60.0,38.0,62.0,29.0,82.0,medium,average,medium,moderate
40.0,60.0,44.0,92.0,96.0,41.0,medium,good,medium,moderate
77.0,43.0,84.0,96.0,73.0,86.0,high,average,medium,moderate
37.0,57.0,94.0,23.0,29.0,42.0,medium,poor,medium,low
42.0,80.0,65.0,50.0,42.0,31.0,medium,average,medium,moderate
71.0,54.0,98.0,87.0,50.0,78.0,high,average,medium,moderate
85.0,99.0,42.0,59.0,92.0,76.0,high,good,low,high
41.0,44.0,50.0,60.0,90.0,46.0,low,average,high,low
50.0,75.0,95.0,65.0,81.0,71.0,high,average,medium,moderate
94.0,69.0,42.0,76.0,28.0,78.0,medium,average,low,high
99.0,89.0,76.0,95.0,59.0,83.0,high,good,low,high
70.0,93.0,45.0,90.0,58.0,96.0,high,good,low,high
61.0,72.0,53.0,70.0,71.0,88.0,medium,average,medium,moderate
54.0,77.0,63.0,66.0,87.0,55.0,medium,average,medium,moderate
72.0,81.0,55.0,48.0,45.0,38.0,medium,average,low,moderate
71.0,71.0,91.0,29.0,64.0,27.0,high,poor,medium,moderate
50.0,51.0,98.0,76.0,41.0,65.0,medium,average,medium,moderate
31.0,65.0,65.0,20.0,36.0,73.0,low,poor,medium,low
40.0,54.0,66.0,75.0,45.0,75.0,medium,average,high,moderate
97.0,67.0,33.0,59.0,78.0,20.0,medium,average,low,moderate
59.0,76.0,46.0,82.0,55.0,76.0,medium,good,medium,high
63.0,52.0,32.0,95.0,74.0,82.0,medium,good,medium,moderate
62.0,54.0,89.0,64.0,75.0,77.0,medium,average,medium,moderate
84.0,89.0,45.0,65.0,48.0,62.0,high,average,low,high
34.0,62.0,53.0,58.0,96.0,21.0,medium,average,medium,moderate
35.0,51.0,88.0,49.0,23.0,59.0,low,poor,high,low
49.0,82.0,79.0,27.0,91.0,71.0,medium,poor,medium,moderate
64.0,82.0,73.0,22.0,20.0,65.0,medium,poor,low,moderate
76.0,89.0,32.0,77.0,50.0,65.0,medium,good,low,high
64.0,85.0,69.0,93.0,86.0,61.0,high,good,low,high
60.0,99.0,69.0,24.0,74.0,64.0,high,average,low,moderate
95.0,74.0,52.0,46.0,45.0,45.0,medium,average,low,moderate
41.0,57.0,82.0,68.0,90.0,68.0,medium,average,medium,moderate
70.0,91.0,95.0,76.0,31.0,42.0,high,good,low,high
67.0,55.0,48.0,78.0,73.0,59.0,medium,average,medium,moderate
63.0,57.0,53.0,75.0,61.0,53.0,medium,average,medium,moderate
86.0,89.0,52.0,26.0,36.0,77.0,medium,average,low,moderate
48.0,92.0,88.0,40.0,93.0,91.0,high,average,low,moderate
96.0,60.0,35.0,57.0,81.0,70.0,high,average,medium,moderate
53.0,83.0,92.0,25.0,20.0,30.0,medium,poor,medium,moderate
68.0,95.0,84.0,47.0,26.0,73.0,high,average,low,moderate
66.0,87.0,63.0,50.0,24.0,45.0,medium,average,low,moderate
89.0,40.0,70.0,98.0,53.0,23.0,medium,average,medium,moderate
60.0,79.0,92.0,45.0,53.0,35.0,medium,average,medium,moderate
49.0,50.0,83.0,97.0,77.0,99.0,medium,good,high,moderate
31.0,90.0,49.0,76.0,74.0,54.0,medium,good,medium,moderate
55.0,44.0,33.0,75.0,21.0,36.0,low,average,high,moderate
87.0,99.0,76.0,85.0,58.0,30.0,high,good,low,high
30.0,50.0,40.0,87.0,82.0,72.0,medium,average,high,moderate
92.0,65.0,36.0,37.0,91.0,80.0,medium,poor,medium,moderate
67.0,54.0,98.0,53.0,43.0,48.0,medium,average,medium,moderate
39.0,88.0,63.0,62.0,23.0,28.0,medium,average,medium,moderate
51.0,63.0,75.0,98.0,32.0,48.0,medium,good,medium,moderate
68.0,84.0,45.0,23.0,47.0,73.0,medium,poor,low,moderate
52.0,44.0,37.0,58.0,55.0,29.0,low,average,high,moderate
37.0,67.0,34.0,37.0,48.0,41.0,low,poor,medium,low
76.0,94.0,54.0,36.0,27.0,20.0,medium,average,low,moderate
77.0,95.0,30.0,80.0,47.0,57.0,medium,good,low,high
38.0,52.0,59.0,36.0,43.0,33.0,low,poor,high,low
49.0,63.0,52.0,83.0,59.0,35.0,medium,good,medium,moderate
47.0,64.0,66.0,99.0,26.0,29.0,medium,good,medium,moderate
76.0,73.0,71.0,82.0,83.0,78.0,high,good,medium,high
81.0,72.0,51.0,33.0,53.0,59.0,medium,poor,medium,moderate
80.0,46.0,61.0,31.0,45.0,95.0,medium,poor,medium,low
95.0,85.0,35.0,54.0,92.0,51.0,high,average,low,moderate
83.0,53.0,51.0,64.0,79.0,37.0,medium,average,medium,moderate
52.0,58.0,98.0,82.0,30.0,36.0,medium,average,medium,moderate
37.0,90.0,99.0,53.0,31.0,96.0,medium,average,medium,moderate
73.0,81.0,64.0,33.0,20.0,67.0,medium,average,low,moderate
94.0,63.0,95.0,99.0,64.0,46.0,high,good,medium,high
98.0,94.0,65.0,92.0,48.0,72.0,high,good,low,high
46.0,63.0,38.0,72.0,50.0,64.0,medium,average,medium,moderate
46.0,73.0,90.0,75.0,60.0,29.0,medium,average,medium,moderate
32.0,54.0,59.0,94.0,63.0,76.0,medium,good,high,moderate
39.0,50.0,72.0,57.0,20.0,29.0,low,average,high,moderate
68.0,69.0,75.0,31.0,28.0,35.0,medium,poor,medium,moderate
68.0,73.0,51.0,68.0,83.0,77.0,medium,average,medium,moderate
55.0,88.0,81.0,56.0,96.0,55.0,high,average,low,moderate
51.0,63.0,65.0,83.0,86.0,37.0,medium,good,medium,moderate
88.0,93.0,55.0,81.0,92.0,25.0,high,good,low,high
62.0,76.0,50.0,57.0,57.0,67.0,medium,average,medium,moderate
86.0,44.0,82.0,49.0,86.0,75.0,high,poor,medium,moderate
97.0,84.0,47.0,53.0,90.0,36.0,high,average,low,moderate
52.0,74.0,38.0,70.0,91.0,53.0,medium,average,medium,moderate
44.0,63.0,91.0,70.0,31.0,47.0,medium,average,medium,moderate
96.0,68.0,53.0,60.0,31.0,91.0,high,average,low,moderate
74.0,58.0,74.0,62.0,52.0,83.0,medium,average,medium,moderate
50.0,76.0,80.0,99.0,60.0,41.0,high,good,medium,high
73.0,74.0,88.0,40.0,96.0,61.0,high,average,medium,moderate
66.0,66.0,73.0,33.0,45.0,93.0,medium,poor,medium,moderate
93.0,57.0,79.0,83.0,86.0,47.0,high,average,medium,moderate
47.0,63.0,88.0,94.0,90.0,31.0,medium,good,medium,moderate
99.0,69.0,96.0,68.0,97.0,43.0,high,average,low,moderate
95.0,68.0,33.0,52.0,35.0,68.0,medium,average,low,moderate
42.0,58.0,82.0,47.0,39.0,99.0,medium,average,medium,moderate
41.0,74.0,42.0,57.0,37.0,44.0,medium,average,medium,moderate
67.0,53.0,92.0,24.0,78.0,24.0,medium,poor,medium,low
33.0,70.0,33.0,62.0,74.0,34.0,medium,average,medium,moderate
50.0,47.0,47.0,41.0,52.0,53.0,low,poor,high,low
60.0,68.0,43.0,41.0,27.0,27.0,medium,average,medium,moderate
97.0,87.0,72.0,64.0,61.0,22.0,high,average,low,high
99.0,89.0,30.0,97.0,78.0,72.0,high,good,low,high
40.0,81.0,31.0,36.0,57.0,85.0,medium,average,medium,moderate
92.0,84.0,65.0,92.0,41.0,38.0,high,good,low,high
36.0,43.0,98.0,61.0,67.0,61.0,medium,average,high,low
82.0,60.0,66.0,97.0,72.0,65.0,high,good,medium,high
89.0,79.0,61.0,50.0,67.0,73.0,high,average,low,moderate
92.0,88.0,76.0,99.0,89.0,98.0,high,good,low,high
45.0,74.0,68.0,72.0,45.0,90.0,medium,average,medium,moderate
92.0,91.0,56.0,73.0,68.0,45.0,high,good,low,high
38.0,56.0,71.0,65.0,88.0,98.0,medium,average,medium,moderate
66.0,49.0,30.0,56.0,37.0,22.0,low,average,medium,moderate
62.0,45.0,47.0,62.0,42.0,96.0,medium,average,medium,moderate
52.0,74.0,77.0,88.0,23.0,31.0,medium,good,medium,high
31.0,79.0,53.0,83.0,49.0,29.0,medium,good,medium,moderate
84.0,57.0,33.0,21.0,23.0,29.0,low,poor,medium,low
53.0,87.0,38.0,75.0,79.0,29.0,medium,good,low,high
76.0,84.0,90.0,86.0,27.0,57.0,high,good,low,high
58.0,61.0,53.0,79.0,75.0,71.0,medium,average,medium,moderate
56.0,54.0,31.0,59.0,66.0,79.0,medium,average,medium,moderate
92.0,84.0,81.0,46.0,99.0,21.0,high,average,low,moderate
36.0,80.0,67.0,73.0,47.0,43.0,medium,good,medium,moderate
81.0,50.0,61.0,73.0,47.0,30.0,medium,average,medium,moderate
82.0,55.0,92.0,49.0,39.0,31.0,medium,average,medium,moderate
56.0,69.0,51.0,52.0,62.0,79.0,medium,average,medium,moderate
48.0,70.0,70.0,49.0,37.0,71.0,medium,average,medium,moderate
30.0,49.0,82.0,23.0,29.0,36.0,low,poor,high,low
95.0,96.0,72.0,22.0,95.0,44.0,high,average,low,moderate
96.0,63.0,44.0,26.0,74.0,93.0,medium,poor,medium,moderate
46.0,62.0,77.0,53.0,29.0,66.0,medium,average,medium,moderate
32.0,43.0,82.0,60.0,69.0,39.0,medium,average,high,low
38.0,92.0,38.0,52.0,44.0,94.0,medium,average,low,moderate
34.0,54.0,41.0,96.0,34.0,35.0,low,good,high,moderate
88.0,99.0,77.0,37.0,57.0,43.0,high,average,low,moderate
92.0,69.0,38.0,51.0,83.0,75.0,high,average,low,moderate
40.0,92.0,91.0,39.0,20.0,60.0,medium,average,low,moderate
82.0,50.0,37.0,43.0,48.0,25.0,medium,poor,medium,moderate
42.0,49.0,98.0,66.0,93.0,84.0,medium,average,high,moderate
55.0,88.0,77.0,44.0,51.0,38.0,medium,average,low,moderate
71.0,89.0,61.0,45.0,27.0,75.0,medium,average,low,moderate
80.0,72.0,48.0,73.0,54.0,46.0,medium,average,medium,moderate
91.0,41.0,54.0,86.0,74.0,80.0,high,average,medium,moderate
33.0,96.0,82.0,37.0,99.0,91.0,medium,average,low,moderate
43.0,63.0,82.0,28.0,70.0,81.0,medium,poor,medium,low
49.0,96.0,44.0,39.0,24.0,93.0,medium,average,low,moderate
